questions,,,,,,,,,,,,,,,,,,,
Body Size,Body Weight,Eyes,Nose,Lips,Teeth,Skin,Hair,Appetite,Digestion,Thirst,Emotions,Mind,Intellect,Speech,Voice,Dreams,Season Preferred,Predicted Dosha,Actual Dosha
Slim,Low,Small,Uneven,Dry,Thin,Dry,Dry and brittle,Irregular,Irregular forms gas,Changeable,Anxiety,Restless,Quick but faulty response,Rapid and talkative,Weak and hoarse,Imaginative,Summer,Vata,
Medium,Medium,Sharp,Long-pointed,Inflamed,Medium,Smooth,Straight and oily,Strong,Quick causes burning,Surplus,Anger,Impatient,Accurate response,Clear and sharp,Strong tone,Realistic,Winter,Pitta,
Large,Overweight,Big,Short rounded,Smooth,Healthy,Oily,Thick and curly,Slow but steady,Prolonged forms mucous,Sparse,Calm,Calmer,Slow and exact,Quiet and slow,Deep and good tone,Lack of dreams,Summer,Kapha,
Slim,Medium,Small,Long-pointed,Inflamed,Medium,Dry,Straight and oily,Strong,Quick causes burning,Surplus,Anxiety,Impatient,Accurate response,Rapid and talkative,Weak and hoarse,Imaginative,Rainy,Vata,
Medium,Overweight,Big,Short rounded,Smooth,Healthy,Oily,Thick and curly,Slow but steady,Prolonged forms mucous,Sparse,Anger,Impatient,Slow and exact,Quiet and slow,Deep and good tone,Lack of dreams,Summer,Kapha,
Large,Low,Small,Uneven,Dry,Thin,Dry,Dry and brittle,Strong,Irregular forms gas,Changeable,Anger,Impatient,Quick but faulty response,Clear and sharp,Strong tone,Realistic,Rainy,Pitta,
Slim,Overweight,Sharp,Long-pointed,Inflamed,Medium,Dry,Straight and oily,Slow but steady,Quick causes burning,Surplus,Calm,Restless,Accurate response,Rapid and talkative,Weak and hoarse,Imaginative,Winter,Kapha,
Medium,Low,Big,Short rounded,Smooth,Healthy,Oily,Straight and oily,Strong,Prolonged forms mucous,Sparse,Anxiety,Impatient,Slow and exact,Quiet and slow,Deep and good tone,Lack of dreams,Winter,Kapha,
Large,Medium,Small,Long-pointed,Dry,Medium,Smooth,Thick and curly,Slow but steady,Irregular forms gas,Changeable,Calm,Restless,Accurate response,Clear and sharp,Strong tone,Imaginative,Winter,Pitta,
Slim,Low,Sharp,Long-pointed,Inflamed,Thin,Dry,Dry and brittle,Strong,Quick causes burning,Surplus,Anger,Impatient,Quick but faulty response,Rapid and talkative,Weak and hoarse,Realistic,Winter,Pitta,
Medium,Overweight,Small,Long-pointed,Inflamed,Medium,Oily,Thick and curly,Slow but steady,Prolonged forms mucous,Sparse,Calm,Restless,Slow and exact,Quiet and slow,Deep and good tone,Lack of dreams,Summer,Kapha,
Large,Medium,Sharp,Short rounded,Smooth,Healthy,Oily,Straight and oily,Strong,Irregular forms gas,Changeable,Anxiety,Restless,Accurate response,Clear and sharp,Strong tone,Realistic,Winter,Pitta,
Slim,Medium,Big,Short rounded,Smooth,Healthy,Dry,Thick and curly,Strong,Irregular forms gas,Changeable,Anger,Restless,Quick but faulty response,Rapid and talkative,Weak and hoarse,Realistic,Winter,Pitta,
Medium,Low,Small,Uneven,Dry,Thin,Smooth,Straight and oily,Slow but steady,Prolonged forms mucous,Sparse,Calm,Impatient,Slow and exact,Quiet and slow,Deep and good tone,Lack of dreams,Rainy,Kapha,
Large,Overweight,Sharp,Long-pointed,Inflamed,Medium,Smooth,Straight and oily,Strong,Quick causes burning,Surplus,Calm,Restless,Accurate response,Rapid and talkative,Weak and hoarse,Realistic,Summer,Pitta,
Slim,Low,Small,Long-pointed,Inflamed,Medium,Smooth,Dry and brittle,Slow but steady,Irregular forms gas,Changeable,Anxiety,Impatient,Quick but faulty response,Clear and sharp,Strong tone,Realistic,Winter,Pitta,
Medium,Medium,Big,Short rounded,Smooth,Healthy,Oily,Thick and curly,Strong,Prolonged forms mucous,Sparse,Calm,Restless,Slow and exact,Quiet and slow,Deep and good tone,Lack of dreams,Winter,Kapha,
Large,Overweight,Sharp,Uneven,Dry,Medium,Dry,Straight and oily,Slow but steady,Quick causes burning,Surplus,Anger,Impatient,Accurate response,Rapid and talkative,Weak and hoarse,Realistic,Summer,Pitta,
Slim,Overweight,Small,Long-pointed,Dry,Medium,Oily,Straight and oily,Strong,Irregular forms gas,Changeable,Anger,Restless,Accurate response,Clear and sharp,Strong tone,Lack of dreams,Summer,Kapha,
Medium,Medium,Sharp,Short rounded,Smooth,Healthy,Oily,Thick and curly,Slow but steady,Prolonged forms mucous,Sparse,Calm,Impatient,Slow and exact,Quiet and slow,Deep and good tone,Imaginative,Summer,Kapha,
Large,Low,Small,Long-pointed,Inflamed,Medium,Dry,Straight and oily,Strong,Quick causes burning,Surplus,Calm,Restless,Quick but faulty response,Rapid and talkative,Weak and hoarse,Realistic,Rainy,Pitta,
Slim,Medium,Big,Short rounded,Inflamed,Thin,Smooth,Straight and oily,Slow but steady,Prolonged forms mucous,Sparse,Calm,Restless,Quick but faulty response, Quiet and slow, Strong tone,Lack of dreams,Summer,Kapha,
Slim,Medium,Big,Short rounded,Inflamed,Thin,Smooth,Straight and oily,Slow but steady,Quick causes burning,Surplus,Calm,Restless,Quick but faulty response,Rapid and talkative,Weak and hoarse,Imaginative,Summer,Pitta,
Medium,Overweight,Small,Long-pointed,Inflamed,Medium,Oily,Thick and curly,Strong,Prolonged forms mucous,Sparse,Calm,Impatient,Slow and exact,Quiet and slow,Deep and good tone,Lack of dreams,Winter,Kapha,
Large,Low,Small,Uneven,Dry,Thin,Dry,Dry and brittle,Strong,Irregular forms gas,Changeable,Anger,Impatient,Quick but faulty response,Clear and sharp,Strong tone,Realistic,Winter,Pitta,
Slim,Overweight,Sharp,Long-pointed,Inflamed,Medium,Dry,Straight and oily,Slow but steady,Quick causes burning,Surplus,Calm,Restless,Accurate response,Rapid and talkative,Weak and hoarse,Lack of dreams,Summer,Kapha,
Medium,Low,Big,Short rounded,Smooth,Healthy,Oily,Straight and oily,Strong,Prolonged forms mucous,Sparse,Anxiety,Impatient,Slow and exact,Quiet and slow,Deep and good tone,Lack of dreams,Summer,Kapha,
Large,Medium,Small,Long-pointed,Dry,Medium,Smooth,Thick and curly,Slow but steady,Irregular forms gas,Changeable,Calm,Restless,Accurate response,Clear and sharp,Strong tone,Realistic,Winter,Pitta,
Slim,Low,Sharp,Long-pointed,Inflamed,Thin,Dry,Dry and brittle,Strong,Quick causes burning,Surplus,Anger,Impatient,Quick but faulty response,Rapid and talkative,Weak and hoarse,Realistic,Rainy,Pitta,
Medium,Overweight,Small,Long-pointed,Inflamed,Medium,Oily,Thick and curly,Slow but steady,Prolonged forms mucous,Sparse,Calm,Restless,Slow and exact,Quiet and slow,Deep and good tone,Lack of dreams,Rainy,Kapha,
Large,Medium,Sharp,Short rounded,Smooth,Healthy,Oily,Straight and oily,Strong,Irregular forms gas,Changeable,Anxiety,Restless,Accurate response,Clear and sharp,Strong tone,Realistic,Rainy,Pitta,
Slim,Medium,Big,Short rounded,Smooth,Healthy,Dry,Thick and curly,Strong,Irregular forms gas,Changeable,Anger,Restless,Quick but faulty response,Rapid and talkative,Weak and hoarse,Imaginative,Winter,Pitta,
Medium,Low,Small,Uneven,Dry,Thin,Smooth,Straight and oily,Slow but steady,Prolonged forms mucous,Sparse,Calm,Impatient,Slow and exact,Quiet and slow,Deep and good tone,Lack of dreams,Rainy,Kapha,
Large,Overweight,Sharp,Long-pointed,Inflamed,Medium,Smooth,Straight and oily,Strong,Quick causes burning,Surplus,Calm,Restless,Accurate response,Rapid and talkative,Weak and hoarse,Realistic,Summer,Pitta,
Slim,Low,Small,Long-pointed,Inflamed,Medium,Smooth,Dry and brittle,Slow but steady,Irregular forms gas,Changeable,Anxiety,Impatient,Quick but faulty response,Clear and sharp,Strong tone,Realistic,Rainy,Pitta,
Medium,Medium,Big,Short rounded,Smooth,Healthy,Oily,Thick and curly,Strong,Prolonged forms mucous,Sparse,Calm,Restless,Slow and exact,Quiet and slow,Deep and good tone,Lack of dreams,Summer,Kapha,
Large,Overweight,Sharp,Uneven,Dry,Medium,Dry,Straight and oily,Slow but steady,Quick causes burning,Surplus,Anger,Impatient,Accurate response,Rapid and talkative,Weak and hoarse,Imaginative,Winter,Pitta,
Slim,Overweight,Small,Long-pointed,Dry,Medium,Oily,Straight and oily,Strong,Irregular forms gas,Changeable,Anger,Restless,Accurate response,Clear and sharp,Strong tone,Lack of dreams,Winter,Kapha,
Medium,Medium,Sharp,Short rounded,Smooth,Healthy,Oily,Thick and curly,Slow but steady,Prolonged forms mucous,Sparse,Calm,Impatient,Slow and exact,Quiet and slow,Deep and good tone,Lack of dreams,Rainy,Kapha,
Large,Low,Small,Long-pointed,Inflamed,Medium,Dry,Straight and oily,Strong,Quick causes burning,Surplus,Calm,Restless,Quick but faulty response,Rapid and talkative,Weak and hoarse,Imaginative,Summer,Pitta,
Slim,Medium,Big,Short rounded,Inflamed,Thin,Smooth,Straight and oily,Slow but steady,Prolonged forms mucous,Sparse,Anxiety,Impatient,Quick but faulty response,Clear and sharp,Strong tone,Imaginative,Summer,Pitta,
Medium,Overweight,Sharp,Short rounded,Smooth,Healthy,Oily,Thick and curly,Slow but steady,Prolonged forms mucous,Sparse,Calm,Restless,Accurate response,Rapid and talkative,Weak and hoarse,Lack of dreams,Winter,Kapha,
Large,Medium,Small,Long-pointed,Dry,Medium,Smooth,Thick and curly,Slow but steady,Irregular forms gas,Changeable,Calm,Restless,Accurate response,Clear and sharp,Strong tone,Realistic,Rainy,Pitta,
Slim,Low,Sharp,Long-pointed,Inflamed,Thin,Dry,Dry and brittle,Strong,Quick causes burning,Surplus,Anger,Impatient,Quick but faulty response,Rapid and talkative,Weak and hoarse,Imaginative,Rainy,Pitta,
Medium,Overweight,Small,Long-pointed,Inflamed,Medium,Oily,Thick and curly,Slow but steady,Prolonged forms mucous,Sparse,Calm,Restless,Slow and exact,Quiet and slow,Deep and good tone,Realistic,Winter,Kapha,
Large,Low,Small,Uneven,Dry,Thin,Dry,Dry and brittle,Strong,Irregular forms gas,Changeable,Anxiety,Impatient,Quick but faulty response,Clear and sharp,Strong tone,Realistic,Summer,Pitta,
Slim,Overweight,Sharp,Long-pointed,Inflamed,Medium,Dry,Straight and oily,Slow but steady,Quick causes burning,Surplus,Calm,Restless,Accurate response,Rapid and talkative,Weak and hoarse,Lack of dreams,Summer,Kapha,
Slim,Medium,Big,Short rounded,Inflamed,Thin,Smooth,Straight and oily,Slow but steady,Prolonged forms mucous,Sparse,Calm,Restless,Quick but faulty response,Quiet and slow,Strong tone,Realistic,Winter,Kapha,
Medium,Overweight,Small,Long-pointed,Inflamed,Medium,Oily,Thick and curly,Strong,Quick causes burning,Surplus,Anger,Impatient,Slow and exact,Rapid and talkative,Weak and hoarse,Imaginative,Winter,Pitta,
Large,Low,Small,Uneven,Dry,Thin,Dry,Dry and brittle,Strong,Irregular forms gas,Changeable,Anger,Impatient,Quick but faulty response,Clear and sharp,Strong tone,Realistic,Rainy,Pitta,
Slim,Overweight,Sharp,Long-pointed,Inflamed,Medium,Dry,Straight and oily,Slow but steady,Quick causes burning,Surplus,Calm,Restless,Accurate response,Rapid and talkative,Weak and hoarse,Lack of dreams,Rainy,Kapha,
Medium,Low,Big,Short rounded,Smooth,Healthy,Oily,Straight and oily,Strong,Prolonged forms mucous,Sparse,Anxiety,Impatient,Slow and exact,Quiet and slow,Deep and good tone,Realistic,Summer,Kapha,
Large,Medium,Small,Long-pointed,Dry,Medium,Smooth,Thick and curly,Slow but steady,Irregular forms gas,Changeable,Calm,Restless,Accurate response,Clear and sharp,Strong tone,Lack of dreams,Winter,Pitta,
Slim,Low,Sharp,Long-pointed,Inflamed,Thin,Dry,Dry and brittle,Strong,Quick causes burning,Surplus,Anger,Impatient,Quick but faulty response,Rapid and talkative,Weak and hoarse,Imaginative,Winter,Pitta,
Medium,Overweight,Small,Long-pointed,Inflamed,Medium,Oily,Thick and curly,Slow but steady,Prolonged forms mucous,Sparse,Calm,Restless,Slow and exact,Quiet and slow,Deep and good tone,Lack of dreams,Summer,Kapha,
Large,Medium,Sharp,Short rounded,Smooth,Healthy,Oily,Straight and oily,Strong,Irregular forms gas,Changeable,Anxiety,Restless,Accurate response,Clear and sharp,Strong tone,Realistic,Winter,Pitta,
Slim,Medium,Big,Short rounded,Smooth,Healthy,Dry,Thick and curly,Strong,Irregular forms gas,Changeable,Anger,Restless,Quick but faulty response,Rapid and talkative,Weak and hoarse,Imaginative,Rainy,Pitta,
Medium,Low,Small,Uneven,Dry,Thin,Smooth,Straight and oily,Slow but steady,Prolonged forms mucous,Sparse,Calm,Impatient,Slow and exact,Quiet and slow,Deep and good tone,Imaginative,Summer,Kapha,
Large,Overweight,Sharp,Long-pointed,Inflamed,Medium,Smooth,Straight and oily,Strong,Quick causes burning,Surplus,Calm,Restless,Accurate response,Rapid and talkative,Weak and hoarse,Imaginative,Summer,Pitta,
Slim,Low,Sharp,Long-pointed,Inflamed,Medium,Smooth,Dry and brittle,Slow but steady,Irregular forms gas,Changeable,Anxiety,Impatient,Quick but faulty response,Clear and sharp,Strong tone,Lack of dreams,Summer,Pitta,
Medium,Medium,Big,Short rounded,Smooth,Healthy,Oily,Thick and curly,Strong,Prolonged forms mucous,Sparse,Calm,Restless,Slow and exact,Quiet and slow,Deep and good tone,Realistic,Rainy,Kapha,
Large,Overweight,Sharp,Uneven,Dry,Medium,Dry,Straight and oily,Slow but steady,Quick causes burning,Surplus,Anger,Impatient,Accurate response,Rapid and talkative,Weak and hoarse,Lack of dreams,Winter,Pitta,
Slim,Overweight,Small,Long-pointed,Dry,Medium,Oily,Straight and oily,Strong,Irregular forms gas,Changeable,Anger,Restless,Accurate response,Clear and sharp,Strong tone,Lack of dreams,Summer,Kapha,
Medium,Medium,Sharp,Short rounded,Smooth,Healthy,Oily,Thick and curly,Slow but steady,Prolonged forms mucous,Sparse,Calm,Impatient,Slow and exact,Quiet and slow,Deep and good tone,Realistic,Rainy,Kapha,
Large,Low,Small,Long-pointed,Inflamed,Medium,Dry,Straight and oily,Strong,Quick causes burning,Surplus,Calm,Restless,Quick but faulty response,Rapid and talkative,Weak and hoarse,Imaginative,Rainy,Pitta,
Slim,Medium,Big,Short rounded,Inflamed,Medium,Smooth,Dry and brittle,Slow but steady,Irregular forms gas,Changeable,Anxiety,Impatient,Quick but faulty response,Clear and sharp,Strong tone,Lack of dreams,Winter,Pitta,
Medium,Overweight,Sharp,Short rounded,Smooth,Healthy,Oily,Thick and curly,Slow but steady,Prolonged forms mucous,Sparse,Calm,Restless,Accurate response,Rapid and talkative,Weak and hoarse,Realistic,Summer,Kapha,
Large,Medium,Small,Long-pointed,Dry,Medium,Smooth,Thick and curly,Slow but steady,Irregular forms gas,Changeable,Calm,Restless,Accurate response,Clear and sharp,Strong tone,Lack of dreams,Summer,Pitta,
Slim,Low,Sharp,Long-pointed,Inflamed,Thin,Dry,Dry and brittle,Strong,Quick causes burning,Surplus,Anger,Impatient,Quick but faulty response,Rapid and talkative,Weak and hoarse,Realistic,Winter,Pitta,
Medium,Overweight,Small,Long-pointed,Inflamed,Medium,Oily,Thick and curly,Slow but steady,Prolonged forms mucous,Sparse,Calm,Restless,Slow and exact,Quiet and slow,Deep and good tone,Realistic,Summer,Kapha,
Large,Low,Small,Uneven,Dry,Thin,Dry,Dry and brittle,Strong,Irregular forms gas,Changeable,Anxiety,Impatient,Quick but faulty response,Clear and sharp,Strong tone,Lack of dreams,Rainy,Pitta,
Slim,Overweight,Sharp,Long-pointed,Inflamed,Medium,Dry,Straight and oily,Slow but steady,Quick causes burning,Surplus,Calm,Restless,Accurate response,Rapid and talkative,Weak and hoarse,Imaginative,Summer,Kapha,
Medium,Overweight,Sharp,Long-pointed,Inflamed,Medium,Dry,Straight and oily,Slow but steady,Quick causes burning,Surplus,Calm,Restless,Accurate response,Rapid and talkative,Weak and hoarse,Imaginative,Rainy,Kapha,
Slim,Medium,Big,Short rounded,Inflamed,Thin,Smooth,Straight and oily,Slow but steady,Prolonged forms mucous,Sparse,Calm,Restless,Quick but faulty response,Quiet and slow,Strong tone,Imaginative,Winter,Kapha,
