questions,,,,,,,,,,,,,,,,,,,
Medium,Overweight,Small,Long-pointed,Inflamed,Medium,Oily,Thick and curly,Strong,Quick causes burning,Surplus,Anger,Impatient,Slow and exact,Rapid and talkative,Weak and hoarse,Imaginative,Rainy,Pitta,
Large,Low,Small,Uneven,Dry,Thin,Dry,Dry and brittle,Strong,Irregular forms gas,Changeable,Anger,Impatient,Quick but faulty response,Clear and sharp,Strong tone,Imaginative,Winter,Pitta,
Slim,Overweight,Sharp,Long-pointed,Inflamed,Medium,Dry,Straight and oily,Slow but steady,Quick causes burning,Surplus,Calm,Restless,Accurate response,Rapid and talkative,Weak and hoarse,Imaginative,Summer,Kapha,
Medium,Low,Big,Short rounded,Smooth,Healthy,Oily,Straight and oily,Strong,Prolonged forms mucous,Sparse,Anxiety,Impatient,Slow and exact,Quiet and slow,Deep and good tone,Lack of dreams,Summer,Kapha,
Large,Medium,Small,Long-pointed,Dry,Medium,Smooth,Thick and curly,Slow but steady,Irregular forms gas,Changeable,Calm,Restless,Accurate response,Clear and sharp,Strong tone,Realistic,Winter,Pitta,
Slim,Low,Sharp,Long-pointed,Inflamed,Thin,Dry,Dry and brittle,Strong,Quick causes burning,Surplus,Anger,Impatient,Quick but faulty response,Rapid and talkative,Weak and hoarse,Realistic,Summer,Pitta,
Medium,Overweight,Small,Long-pointed,Inflamed,Medium,Oily,Thick and curly,Slow but steady,Prolonged forms mucous,Sparse,Calm,Restless,Slow and exact,Quiet and slow,Deep and good tone,Realistic,Winter,Kapha,
Large,Medium,Sharp,Short rounded,Smooth,Healthy,Oily,Straight and oily,Strong,Irregular forms gas,Changeable,Anxiety,Restless,Accurate response,Clear and sharp,Strong tone,Realistic,Winter,Pitta,
Slim,Medium,Big,Short rounded,Smooth,Healthy,Dry,Thick and curly,Strong,Irregular forms gas,Changeable,Anger,Restless,Quick but faulty response,Rapid and talkative,Weak and hoarse,Lack of dreams,Winter,Pitta,
Medium,Low,Small,Uneven,Dry,Thin,Smooth,Straight and oily,Slow but steady,Prolonged forms mucous,Sparse,Calm,Impatient,Slow and exact,Quiet and slow,Deep and good tone,Lack of dreams,Winter,Kapha,
Large,Overweight,Sharp,Long-pointed,Inflamed,Medium,Smooth,Straight and oily,Strong,Quick causes burning,Surplus,Calm,Restless,Accurate response,Rapid and talkative,Weak and hoarse,Realistic,Rainy,Pitta,
Slim,Low,Sharp,Long-pointed,Inflamed,Medium,Smooth,Dry and brittle,Slow but steady,Irregular forms gas,Changeable,Anxiety,Impatient,Quick but faulty response,Clear and sharp,Strong tone,Imaginative,Rainy,Pitta,
Medium,Medium,Big,Short rounded,Smooth,Healthy,Oily,Thick and curly,Strong,Prolonged forms mucous,Sparse,Calm,Restless,Slow and exact,Quiet and slow,Deep and good tone,Lack of dreams,Rainy,Kapha,
Large,Overweight,Sharp,Uneven,Dry,Medium,Dry,Straight and oily,Slow but steady,Quick causes burning,Surplus,Anger,Impatient,Accurate response,Rapid and talkative,Weak and hoarse,Realistic,Winter,Pitta,
Slim,Overweight,Small,Long-pointed,Dry,Medium,Oily,Straight and oily,Strong,Irregular forms gas,Changeable,Anger,Restless,Accurate response,Clear and sharp,Strong tone,Realistic,Rainy,Kapha,
Medium,Medium,Sharp,Short rounded,Smooth,Healthy,Oily,Thick and curly,Slow but steady,Prolonged forms mucous,Sparse,Calm,Impatient,Slow and exact,Quiet and slow,Deep and good tone,Imaginative,Summer,Kapha,
Large,Low,Small,Long-pointed,Inflamed,Medium,Dry,Straight and oily,Strong,Quick causes burning,Surplus,Calm,Restless,Quick but faulty response,Rapid and talkative,Weak and hoarse,Imaginative,Summer,Pitta,
Slim,Medium,Big,Short rounded,Inflamed,Medium,Smooth,Dry and brittle,Slow but steady,Irregular forms gas,Changeable,Anxiety,Impatient,Quick but faulty response,Clear and sharp,Strong tone,Lack of dreams,Rainy,Pitta,
Medium,Overweight,Sharp,Short rounded,Smooth,Healthy,Oily,Thick and curly,Slow but steady,Prolonged forms mucous,Sparse,Calm,Restless,Accurate response,Rapid and talkative,Weak and hoarse,Lack of dreams,Winter,Kapha,
Large,Medium,Small,Long-pointed,Dry,Medium,Smooth,Thick and curly,Slow but steady,Irregular forms gas,Changeable,Calm,Restless,Accurate response,Clear and sharp,Strong tone,Lack of dreams,Winter,Pitta,
Slim,Low,Sharp,Long-pointed,Inflamed,Thin,Dry,Dry and brittle,Strong,Quick causes burning,Surplus,Anger,Impatient,Quick but faulty response,Rapid and talkative,Weak and hoarse,Imaginative,Rainy,Pitta,
Medium,Overweight,Small,Long-pointed,Inflamed,Medium,Oily,Thick and curly,Slow but steady,Prolonged forms mucous,Sparse,Calm,Restless,Slow and exact,Quiet and slow,Deep and good tone,Realistic,Summer,Kapha,
Large,Low,Small,Uneven,Dry,Thin,Dry,Dry and brittle,Strong,Irregular forms gas,Changeable,Anger,Impatient,Quick but faulty response,Clear and sharp,Strong tone,Imaginative,Winter,Pitta,
Slim,Overweight,Sharp,Long-pointed,Inflamed,Medium,Dry,Straight and oily,Slow but steady,Quick causes burning,Surplus,Calm,Restless,Accurate response,Rapid and talkative,Weak and hoarse,Lack of dreams,Summer,Kapha,
Slim,Low,"Small, Sunken, Dry","Uneven, Deviated Septum","Dry, Cracked","Stick Out, Big, Roomy, Thin Gums","Thin, Dry, Cold, Rough","Dry, Brown/Black","Irregular, Scanty","Irregular, Forms Gas",Changeable,"Anxiety, Fear, Uncertainty",Restless,Quick but Faulty Response,"Rapid, Unclear, Talkative","Weak, Hoarse",Realistic,Summer,Vata,
Slim,Low,"Sharp, Bright, Sensitive to Light","Long Pointed, Red Nose-Tip","Red, Inflamed","Medium, Soft, Tender Gums","Smooth, Oily, Warm","Straight, Oily, Blonde","Strong, Unbearable","Quick, Causes Burning",Changeable,"Anger, Hate, Jealousy",Impatient,Accurate Response,"Clear, Sharp, Penetrating",Strong Tone,Imaginative,Rainy,Vata,
Slim,Low,"Small, Sunken, Dry","Long Pointed, Red Nose-Tip","Dry, Cracked","Stick Out, Big, Roomy, Thin Gums","Thin, Dry, Cold, Rough","Dry, Brown/Black","Irregular, Scanty","Irregular, Forms Gas",Changeable,"Calmness, Patience, Contentment",Restlessness,"Slow, Exact","Clear, Slow, Monotonous","Deep, Good Tone",Lack of dreams,Rainy,Vata,
Slim,Low,"Sharp, Bright, Sensitive to Light","Short Rounded, Button Nose","Smooth, Oily","Medium, Soft, Tender Gums","Smooth, Oily, Warm","Straight, Oily, Blonde","Strong, Unbearable","Slow, Forms Mucous",Sparse,"Anxiety, Fear, Uncertainty",Restless,Accurate Response,"Clear, Sharp, Penetrating",Strong Tone,Imaginative,Summer,Vata,
Slim,Low,"Small, Sunken, Dry","Short Rounded, Button Nose","Dry, Cracked","Stick Out, Big, Roomy, Thin Gums","Thin, Dry, Cold, Rough","Dry, Brown/Black","Irregular, Scanty","Irregular, Forms Gas",Surplus,"Calmness, Patience, Contentment",Restlessness,"Slow, Exact","Quiet, Slow, Monotonous","Deep, Good Tone",Lack of dreams,Winter,Vata,
Slim,Low,"Sharp, Bright, Sensitive to Light","Long Pointed, Red Nose-Tip","Red, Inflamed","Medium, Soft, Tender Gums","Smooth, Oily, Warm","Straight, Oily, Blonde","Strong, Unbearable","Quick, Causes Burning",Sparse,"Anxiety, Fear, Uncertainty",Restless,Quick but Faulty Response,"Rapid, Unclear, Talkative","Weak, Hoarse",Realistic,Summer,Vata,
Slim,Low,"Small, Sunken, Dry","Long Pointed, Red Nose-Tip","Red, Inflamed","Stick Out, Big, Roomy, Thin Gums","Thin, Dry, Cold, Rough","Dry, Brown/Black","Irregular, Scanty","Slow, Forms Mucous",Sparse,"Anger, Hate, Jealousy",Impatient,"Slow, Exact","Clear, Slow, Monotonous","Deep, Good Tone",Imaginative,Winter,Vata,
Slim,Low,"Sharp, Bright, Sensitive to Light","Short Rounded, Button Nose","Dry, Cracked","Medium, Soft, Tender Gums","Smooth, Oily, Warm","Straight, Oily, Blonde","Strong, Unbearable","Quick, Causes Burning",Changeable,"Anger, Hate, Jealousy",Restlessness,Accurate Response,"Clear, Sharp, Penetrating",Strong Tone,Lack of dreams,Summer,Vata,
Slim,Low,"Small, Sunken, Dry","Long Pointed, Red Nose-Tip","Red, Inflamed","Stick Out, Big, Roomy, Thin Gums","Thin, Dry, Cold, Rough","Dry, Brown/Black","Irregular, Scanty","Slow, Forms Mucous",Sparse,"Calmness, Patience, Contentment",Restlessness,Quick but Faulty Response,"Quiet, Slow, Monotonous","Weak, Hoarse",Realistic,Winter,Vata,
Slim,Low,"Sharp, Bright, Sensitive to Light","Short Rounded, Button Nose","Dry, Cracked","Medium, Soft, Tender Gums","Smooth, Oily, Warm","Straight, Oily, Blonde","Strong, Unbearable","Quick, Causes Burning",Changeable,"Anxiety, Fear, Uncertainty",Impatient,Quick but Faulty Response,"Rapid, Unclear, Talkative",Strong Tone,Imaginative,Summer,Vata,
Slim,Low,"Small, Sunken, Dry","Long Pointed, Red Nose-Tip","Red, Inflamed","Stick Out, Big, Roomy, Thin Gums","Thin, Dry, Cold, Rough","Dry, Brown/Black","Irregular, Scanty","Slow, Forms Mucous",Sparse,"Calmness, Patience, Contentment",Restlessness,Accurate Response,"Clear, Sharp, Penetrating","Deep, Good Tone",Lack of dreams,Rainy,Vata,
Slim,Low,"Sharp, Bright, Sensitive to Light","Short Rounded, Button Nose","Dry, Cracked","Stick Out, Big, Roomy, Thin Gums","Thin, Dry, Cold, Rough","Dry, Brown/Black","Irregular, Scanty","Irregular, Forms Gas",Changeable,"Anxiety, Fear, Uncertainty",Restless,Quick but Faulty Response,"Clear, Sharp, Penetrating",Strong Tone,Realistic,Winter,Vata,
Slim,Low,"Small, Sunken, Dry","Long Pointed, Red Nose-Tip","Red, Inflamed","Medium, Soft, Tender Gums","Smooth, Oily, Warm","Straight, Oily, Blonde","Strong, Unbearable","Slow, Forms Mucous",Sparse,"Anger, Hate, Jealousy",Impatient,"Slow, Exact","Rapid, Unclear, Talkative","Deep, Good Tone",Lack of dreams,Summer,Vata,
Slim,Low,"Sharp, Bright, Sensitive to Light","Short Rounded, Button Nose","Dry, Cracked","Stick Out, Big, Roomy, Thin Gums","Thin, Dry, Cold, Rough","Dry, Brown/Black","Irregular, Scanty","Irregular, Forms Gas",Changeable,"Calmness, Patience, Contentment",Restlessness,Accurate Response,"Quiet, Slow, Monotonous","Weak, Hoarse",Imaginative,Rainy,Vata,
Slim,Low,"Small, Sunken, Dry","Long Pointed, Red Nose-Tip","Red, Inflamed","Medium, Soft, Tender Gums","Smooth, Oily, Warm","Straight, Oily, Blonde","Strong, Unbearable","Slow, Forms Mucous",Sparse,"Anger, Hate, Jealousy",Restlessness,Quick but Faulty Response,"Clear, Sharp, Penetrating",Strong Tone,Realistic,Winter,Vata,
Slim,Low,"Sharp, Bright, Sensitive to Light","Short Rounded, Button Nose","Dry, Cracked","Stick Out, Big, Roomy, Thin Gums","Thin, Dry, Cold, Rough","Dry, Brown/Black","Irregular, Scanty","Irregular, Forms Gas",Changeable,"Calmness, Patience, Contentment",Impatient,"Slow, Exact","Rapid, Unclear, Talkative","Deep, Good Tone",Lack of dreams,Summer,Vata,
Slim,Low,"Small, Sunken, Dry","Long Pointed, Red Nose-Tip","Red, Inflamed","Stick Out, Big, Roomy, Thin Gums","Thin, Dry, Cold, Rough","Dry, Brown/Black","Irregular, Scanty","Slow, Forms Mucous",Sparse,"Anxiety, Fear, Uncertainty",Impatient,Accurate Response,"Clear, Sharp, Penetrating","Weak, Hoarse",Realistic,Winter,Vata,
Slim,Low,"Sharp, Bright, Sensitive to Light","Short Rounded, Button Nose","Dry, Cracked","Medium, Soft, Tender Gums","Smooth, Oily, Warm","Straight, Oily, Blonde","Strong, Unbearable","Quick, Causes Burning",Sparse,"Calmness, Patience, Contentment",Restless,Quick but Faulty Response,"Quiet, Slow, Monotonous",Strong Tone,Imaginative,Rainy,Vata,
Slim,Low,"Small, Sunken, Dry","Long Pointed, Red Nose-Tip","Red, Inflamed","Stick Out, Big, Roomy, Thin Gums","Thin, Dry, Cold, Rough","Dry, Brown/Black","Irregular, Scanty","Slow, Forms Mucous",Sparse,"Anger, Hate, Jealousy",Restless,"Slow, Exact","Rapid, Unclear, Talkative","Weak, Hoarse",Lack of dreams,Winter,Vata,
Slim,Low,"Sharp, Bright, Sensitive to Light","Short Rounded, Button Nose","Dry, Cracked","Stick Out, Big, Roomy, Thin Gums","Thin, Dry, Cold, Rough","Dry, Brown/Black","Irregular, Scanty","Irregular, Forms Gas",Changeable,"Calmness, Patience, Contentment",Impatient,Accurate Response,"Quiet, Slow, Monotonous","Deep, Good Tone",Realistic,Winter,Vata,
Slim,Low,"Small, Sunken, Dry","Uneven, Deviated Septum","Dry, Cracked","Stick Out, Big, Roomy, Thin Gums","Thin, Dry, Cold, Rough","Dry, Brown/Black","Irregular, Scanty","Irregular, Forms Gas",Changeable,"Anxiety, Fear, Uncertainty",Restless,Quick but Faulty Response,"Rapid, Unclear, Talkative","Weak, Hoarse",Imaginative,Summer,Vata,
Slim,Low,"Sharp, Bright, Sensitive to Light","Long Pointed, Red Nose-Tip","Red, Inflamed","Medium, Soft, Tender Gums","Smooth, Oily, Warm","Straight, Oily, Blonde","Strong, Unbearable","Quick, Causes Burning",Changeable,"Anger, Hate, Jealousy",Impatient,Accurate Response,"Clear, Sharp, Penetrating",Strong Tone,Lack of dreams,Summer,Vata,
Slim,Low,"Small, Sunken, Dry","Long Pointed, Red Nose-Tip","Dry, Cracked","Stick Out, Big, Roomy, Thin Gums","Thin, Dry, Cold, Rough","Dry, Brown/Black","Irregular, Scanty","Irregular, Forms Gas",Changeable,"Calmness, Patience, Contentment",Restlessness,"Slow, Exact","Clear, Slow, Monotonous","Deep, Good Tone",Imaginative,Summer,Vata,
Slim,Low,"Sharp, Bright, Sensitive to Light","Short Rounded, Button Nose","Smooth, Oily","Medium, Soft, Tender Gums","Smooth, Oily, Warm","Straight, Oily, Blonde","Strong, Unbearable","Slow, Forms Mucous",Sparse,"Anxiety, Fear, Uncertainty",Restless,Accurate Response,"Clear, Sharp, Penetrating",Strong Tone,Imaginative,Summer,Vata,
Slim,Low,"Small, Sunken, Dry","Short Rounded, Button Nose","Dry, Cracked","Stick Out, Big, Roomy, Thin Gums","Thin, Dry, Cold, Rough","Dry, Brown/Black","Irregular, Scanty","Irregular, Forms Gas",Surplus,"Calmness, Patience, Contentment",Restlessness,"Slow, Exact","Quiet, Slow, Monotonous","Deep, Good Tone",Imaginative,Summer,Vata,
Slim,Low,"Sharp, Bright, Sensitive to Light","Long Pointed, Red Nose-Tip","Red, Inflamed","Medium, Soft, Tender Gums","Smooth, Oily, Warm","Straight, Oily, Blonde","Strong, Unbearable","Quick, Causes Burning",Sparse,"Anxiety, Fear, Uncertainty",Restless,Quick but Faulty Response,"Rapid, Unclear, Talkative","Weak, Hoarse",Lack of dreams,Rainy,Vata,
Slim,Low,"Small, Sunken, Dry","Long Pointed, Red Nose-Tip","Red, Inflamed","Stick Out, Big, Roomy, Thin Gums","Thin, Dry, Cold, Rough","Dry, Brown/Black","Irregular, Scanty","Slow, Forms Mucous",Sparse,"Anger, Hate, Jealousy",Impatient,"Slow, Exact","Clear, Slow, Monotonous","Deep, Good Tone",Realistic,Winter,Vata,
Slim,Low,"Sharp, Bright, Sensitive to Light","Short Rounded, Button Nose","Dry, Cracked","Medium, Soft, Tender Gums","Smooth, Oily, Warm","Straight, Oily, Blonde","Strong, Unbearable","Quick, Causes Burning",Changeable,"Anger, Hate, Jealousy",Restlessness,Accurate Response,"Clear, Sharp, Penetrating",Strong Tone,Lack of dreams,Rainy,Vata,
Slim,Low,"Small, Sunken, Dry","Long Pointed, Red Nose-Tip","Red, Inflamed","Stick Out, Big, Roomy, Thin Gums","Thin, Dry, Cold, Rough","Dry, Brown/Black","Irregular, Scanty","Slow, Forms Mucous",Sparse,"Calmness, Patience, Contentment",Restlessness,Quick but Faulty Response,"Quiet, Slow, Monotonous","Weak, Hoarse",Realistic,Winter,Vata,
Slim,Low,"Sharp, Bright, Sensitive to Light","Short Rounded, Button Nose","Dry, Cracked","Medium, Soft, Tender Gums","Smooth, Oily, Warm","Straight, Oily, Blonde","Strong, Unbearable","Quick, Causes Burning",Changeable,"Anxiety, Fear, Uncertainty",Impatient,Quick but Faulty Response,"Rapid, Unclear, Talkative",Strong Tone,Lack of dreams,Summer,Vata,
Slim,Low,"Small, Sunken, Dry","Long Pointed, Red Nose-Tip","Red, Inflamed","Stick Out, Big, Roomy, Thin Gums","Thin, Dry, Cold, Rough","Dry, Brown/Black","Irregular, Scanty","Slow, Forms Mucous",Sparse,"Calmness, Patience, Contentment",Restlessness,Accurate Response,"Clear, Sharp, Penetrating","Deep, Good Tone",Imaginative,Rainy,Vata,
